1,AITICE,14,"Generar investigación tendiente a la incorporación de las Tecnologías de la Información y Comunicación en los procesos educativos, mediante el aporte de estrategias significativas que conlleven al logro de los objetivos cognitivos de los estudiantes y de soluciones enmarcadas en el contexto de la sociedad del conocimiento.",001
2,GISICO,9,"Realizar investigaciones sobre los nuevos paradigmas, modelos, procedimientos, métodos, técnicas y herramientas que surjan en el ámbito mundial, para la gestión, el desarrollo y la implantación de sistemas de información.",001
